GPS latitude,GPS longitude,GPS altitude,GPS speed,GPS accuracy,GPS orientation,GPS satellites In range,Time since start,Date,Accelerometer X,Accelerometer Y,Accelerometer Z,Gravity X,Gravity Y,Gravity Z,Gyroscope (Yaw),Gyroscope (Pitch),Gyroscope (Roll),Magnetic field X,Magnetic field Y,Magnetic field Z,Orientation (Yaw),Orientation (Pitch),Orientation (Roll),GNSS valid,Indicated vehicle speed,Yaw rate,Indicated longitudinal acceleration,Indicated lateral acceleration
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1500.0,2019-09-08 11:07:21:045,0.793300,0.645000,9.500300,-0.014100,0.019100,9.806600,0.1087000,-0.0343000,0.0686000,-10.620,-28.870,31.690,346.940,-83.190,-172.690,1,57.092,-13.05000,-0.741667,-3.612107
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1600.0,2019-09-08 11:07:21:145,0.576300,0.383700,9.506800,-0.018700,0.031600,9.806600,0.0376000,0.0554000,-0.0346000,-10.440,-28.620,31.630,350.580,-83.260,-171.050,1,57.730,12.43000,1.772222,3.478945
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1700.0,2019-09-08 11:07:21:245,0.130600,0.335900,10.150600,-0.001800,-0.016700,9.806600,-0.0207000,0.0309000,0.0319000,-10.440,-28.560,31.500,351.100,-83.120,-170.560,1,57.492,-14.08000,-0.661111,-3.924505
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1800.0,2019-09-08 11:07:21:345,0.033200,0.330600,9.745600,-0.009600,-0.028000,9.806600,0.0297000,0.0377000,0.0381000,-11.060,-28.000,31.630,350.890,-83.100,-169.170,1,57.690,9.84000,0.550000,2.752140
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1900.0,2019-09-08 11:07:21:445,0.114500,0.985700,9.628500,-0.025800,0.022800,9.806600,0.0672000,-0.0115000,0.0716000,-10.870,-28.190,31.500,352.120,-83.060,-168.060,1,57.499,-4.65000,-0.530556,-1.296248
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,26,2000.0,2019-09-08 11:07:21:545,0.690400,0.463000,9.438200,-0.032500,0.003600,9.806600,-0.0179000,-0.0254000,0.0676000,-10.810,-28.690,31.380,355.170,-83.170,-164.750,1,57.298,0.18000,-0.558333,0.050002
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,26,2100.0,2019-09-08 11:07:21:646,-0.010600,-0.138000,9.331700,-0.006100,0.003300,9.806500,0.0321000,-0.0259000,0.0360000,-11.000,-28.440,30.750,356.320,-83.280,-163.750,1,56.923,-3.72000,-1.041667,-1.026610
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,26,2200.0,2019-09-08 11:07:21:746,0.081200,-0.489600,9.426500,-0.004900,-0.005900,9.806600,0.0373000,-0.0121000,0.0363000,-11.690,-28.120,30.940,355.940,-83.360,-162.480,1,57.845,0.10000,2.561111,0.028044
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,26,2300.0,2019-09-08 11:07:21:845,-0.341200,0.241600,9.582200,0.007500,0.006200,9.806600,0.0285000,0.0298000,-0.0436000,-11.750,-28.440,30.810,356.390,-83.480,-162.080,1,57.204,0.67000,-1.780556,0.185813
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,26,2400.0,2019-09-08 11:07:21:945,0.145000,-0.580700,9.797000,0.004900,-0.004000,9.806600,0.0683000,-0.0272000,0.0030000,-11.250,-28.690,31.060,357.690,-83.590,-162.530,1,57.064,-4.50000,-0.388889,-1.244943
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,26,2500.0,2019-09-08 11:07:22:046,0.121500,-0.145400,10.025400,0.008500,-0.016900,9.806500,-0.0520000,0.0175000,-0.0075000,-12.370,-28.250,31.190,355.040,-83.520,-163.300,1,57.492,6.97000,1.188889,1.942742
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,26,2600.0,2019-09-08 11:07:22:146,-0.380100,0.658700,9.942700,-0.010100,0.011400,9.806600,0.0188000,0.0228000,0.0271000,-11.500,-28.440,30.000,356.700,-83.600,-162.820,1,57.154,-6.48000,-0.938889,-1.795546
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,26,2700.0,2019-09-08 11:07:22:245,-0.190900,0.262100,9.904400,-0.014400,0.018100,9.806500,0.0530000,-0.0234000,0.0649000,-11.620,-28.620,30.810,356.310,-83.650,-162.150,1,57.355,2.86000,0.558333,0.795266
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,26,2800.0,2019-09-08 11:07:22:345,-0.253300,-0.655000,10.003000,-0.000800,-0.023500,9.806500,0.0395000,-0.0100000,0.0327000,-12.190,-28.370,30.630,357.480,-83.650,-161.110,1,57.532,0.35000,0.491667,0.097623
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,2900.0,2019-09-08 11:07:22:445,-0.322300,-0.372000,10.148600,0.006000,-0.030300,9.806500,-0.0537000,0.0224000,-0.0335000,-12.060,-28.560,31.190,358.480,-83.700,-160.210,1,57.726,3.21000,0.538889,0.898362
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3000.0,2019-09-08 11:07:22:545,-0.353500,0.726900,10.175300,-0.005900,0.039200,9.806500,-0.0611000,-0.0328000,-0.0192000,-11.810,-28.440,30.560,358.120,-83.600,-160.530,1,57.193,-12.77000,-1.480556,-3.540859
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3100.0,2019-09-08 11:07:22:645,0.443900,-1.049200,9.710100,-0.009800,0.035800,9.806600,-0.0498000,0.0054000,0.0172000,-11.500,-28.500,30.690,359.810,-83.810,-160.630,1,57.431,7.17000,0.661111,1.996367
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3200.0,2019-09-08 11:07:22:745,-0.267900,-0.999800,9.966900,0.012100,-0.028500,9.806500,0.0542000,0.0221000,-0.0123000,-12.060,-29.310,31.380,357.250,-83.670,-161.310,1,57.845,0.75000,1.150000,0.210330
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3300.0,2019-09-08 11:07:22:845,-0.578000,1.417900,9.183000,0.016700,-0.026600,9.806500,-0.1235000,0.0763000,-0.0594000,-11.500,-29.190,30.380,358.050,-83.820,-161.610,1,56.948,-3.21000,-2.491667,-0.886254
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3400.0,2019-09-08 11:07:22:945,-0.971700,0.945500,9.812100,-0.014200,0.045800,9.806500,-0.0796000,-0.0680000,0.0267000,-11.250,-28.940,30.750,358.780,-83.910,-161.560,1,57.319,3.34000,1.030556,0.928154
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3500.0,2019-09-08 11:07:23:045,0.902600,0.186900,9.237700,-0.008800,0.050200,9.806500,0.0838000,-0.0066000,0.0266000,-11.750,-28.620,30.880,356.400,-83.960,-162.090,1,57.391,-0.29000,0.200000,-0.080689
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3600.0,2019-09-08 11:07:23:145,-0.528500,-0.061200,8.976000,0.019800,-0.015300,9.806500,-0.1500000,-0.0119000,-0.0292000,-11.500,-29.000,30.630,359.350,-84.240,-161.060,1,57.769,1.01000,1.050000,0.282873
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3700.0,2019-09-08 11:07:23:245,-0.002800,-0.133800,8.889200,-0.002500,0.001100,9.806600,0.0639000,-0.0427000,-0.0135000,-11.870,-29.250,30.690,356.670,-84.400,-161.870,1,57.344,-8.58000,-1.180556,-2.385339
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3800.0,2019-09-08 11:07:23:345,-0.674600,0.427200,9.927500,0.016300,0.007400,9.806600,0.0794000,0.0164000,-0.0601000,-11.620,-28.940,30.250,355.040,-84.630,-162.720,1,57.625,4.76000,0.780556,1.329820
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,3900.0,2019-09-08 11:07:23:445,1.099600,-0.444900,9.676700,0.028000,-0.015500,9.806600,-0.1638000,0.0343000,-0.0461000,-11.500,-28.750,30.380,353.150,-84.670,-166.110,1,57.913,0.81000,0.800000,0.227424
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4000.0,2019-09-08 11:07:23:545,0.971300,0.747700,9.544400,-0.009600,0.032200,9.806600,-0.1473000,0.0602000,-0.0134000,-10.940,-29.250,30.130,351.950,-84.640,-167.200,1,57.661,-2.46000,-0.700000,-0.687689
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4100.0,2019-09-08 11:07:23:645,0.800000,0.045200,9.891600,-0.021100,0.018000,9.806500,-0.0043000,0.0033000,0.0485000,-11.370,-28.500,30.810,354.380,-84.720,-165.620,1,58.003,0.52000,0.950000,0.146227
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4200.0,2019-09-08 11:07:23:745,1.071800,-1.722500,9.488100,-0.013800,0.016000,9.806500,-0.0944000,0.0420000,0.0035000,-11.690,-29.690,30.000,352.150,-84.520,-165.320,1,57.460,0.91000,-1.508333,0.253502
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4300.0,2019-09-08 11:07:23:845,-0.128200,-0.265200,11.239400,-0.032700,0.049900,9.806400,0.2391000,0.0010000,0.0595000,-11.810,-29.560,30.250,354.540,-84.570,-163.160,1,57.665,-2.28000,0.569444,-0.637415
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4400.0,2019-09-08 11:07:23:945,0.868100,-1.423900,12.088400,0.042600,-0.131900,9.805700,0.7709000,0.0648000,0.0069000,-11.810,-29.310,30.690,353.890,-83.880,-164.350,1,57.985,-1.54000,0.888889,-0.432924
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4500.0,2019-09-08 11:07:24:045,0.754200,-2.989000,11.351600,0.049000,-0.115100,9.805800,-0.7115000,0.0744000,-0.0586000,-11.440,-30.940,30.500,356.090,-83.970,-163.960,1,57.604,0.40000,-1.058333,0.111709
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4600.0,2019-09-08 11:07:24:145,0.250900,3.031700,6.858900,-0.027000,0.110100,9.806000,-0.6303000,0.0974000,0.0224000,-11.120,-30.310,31.190,357.440,-84.090,-162.770,1,57.974,-5.37000,1.027778,-1.509324
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4700.0,2019-09-08 11:07:24:245,1.168400,2.304000,8.779700,-0.033900,0.067800,9.806300,0.5407000,-0.0062000,0.1462000,-12.120,-28.690,30.940,358.080,-84.720,-160.600,1,57.830,-6.21000,-0.400000,-1.741084
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4800.0,2019-09-08 11:07:24:345,1.238800,1.268300,9.717000,0.028000,-0.068200,9.806300,0.4181000,-0.0669000,0.1235000,-12.620,-28.120,31.130,357.640,-84.620,-159.410,1,57.744,8.48000,-0.238889,2.373983
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,4900.0,2019-09-08 11:07:24:445,-0.589700,-0.170200,9.662000,-0.002300,-0.033200,9.806500,-0.2028000,-0.0258000,0.0621000,-13.310,-28.250,30.690,356.990,-84.340,-159.990,1,57.647,-7.10000,-0.269444,-1.984312
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5000.0,2019-09-08 11:07:24:546,-0.146400,0.215500,9.153800,-0.030100,0.046200,9.806500,-0.1541000,0.0369000,0.0027000,-13.620,-29.190,30.440,358.420,-84.610,-156.430,1,58.255,2.60000,1.688889,0.734313
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5100.0,2019-09-08 11:07:24:645,0.769900,0.265900,9.573700,-0.022800,0.038400,9.806500,0.0329000,-0.0243000,0.0535000,-13.750,-28.190,30.190,359.370,-84.620,-155.560,1,58.036,0.02000,-0.608333,0.005627
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5200.0,2019-09-08 11:07:24:745,-0.841800,-1.040600,8.939000,0.013600,0.003100,9.806600,-0.0341000,-0.0193000,-0.0468000,-13.250,-28.940,30.440,2.620,-84.550,-154.180,1,57.924,-4.48000,-0.311111,-1.258089
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5300.0,2019-09-08 11:07:24:845,0.035100,0.694700,9.474900,0.008300,0.033400,9.806500,0.0019000,-0.0002000,-0.0464000,-13.310,-29.500,29.810,0.160,-85.000,-156.420,1,58.025,1.84000,0.280556,0.517616
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5400.0,2019-09-08 11:07:24:945,0.031200,-0.025100,10.145700,0.024800,-0.001700,9.806600,0.0002000,0.0457000,-0.0301000,-13.560,-29.440,29.940,355.810,-85.260,-158.850,1,57.928,0.74000,-0.269444,0.207824
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5500.0,2019-09-08 11:07:25:046,0.210200,-0.326100,10.210800,0.024800,-0.014900,9.806500,0.0749000,-0.0343000,0.0242000,-13.250,-28.940,29.750,352.850,-85.070,-163.150,1,57.560,-3.10000,-1.022222,-0.865082
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5600.0,2019-09-08 11:07:25:146,0.059800,-0.306800,10.159800,-0.011300,-0.018000,9.806600,0.0666000,0.0104000,0.0301000,-12.940,-28.940,30.560,354.720,-84.820,-162.100,1,58.601,8.08000,2.891667,2.295574
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5700.0,2019-09-08 11:07:25:246,-0.126100,-0.964100,9.900200,-0.006300,-0.011300,9.806600,-0.0873000,0.0254000,0.0044000,-12.690,-29.120,30.630,356.380,-84.850,-160.580,1,57.668,-7.58000,-2.591667,-2.119234
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5800.0,2019-09-08 11:07:25:346,-0.791100,0.075200,9.797200,-0.014900,0.012700,9.806500,-0.0119000,-0.0321000,0.0156000,-12.870,-29.190,30.560,358.120,-84.950,-158.980,1,57.740,3.98000,0.200000,1.114127
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,5900.0,2019-09-08 11:07:25:446,-0.147400,0.264700,9.693600,-0.000100,0.007300,9.806600,0.0474000,-0.0124000,0.0162000,-12.690,-29.440,30.310,358.150,-84.990,-158.270,1,57.668,-6.80000,-0.200000,-1.901160
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6000.0,2019-09-08 11:07:25:545,-0.120700,0.106400,10.299900,0.001800,-0.021400,9.806600,0.1238000,-0.0158000,0.0104000,-12.250,-29.120,30.130,0.560,-84.980,-157.680,1,57.420,3.58000,-0.688889,0.996600
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6100.0,2019-09-08 11:07:25:646,0.346800,0.601600,9.609400,-0.000700,-0.019300,9.806600,-0.0461000,-0.0406000,0.0624000,-12.500,-28.870,30.690,1.780,-84.860,-157.200,1,57.060,-2.39000,-1.000000,-0.661157
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6200.0,2019-09-08 11:07:25:745,0.683600,0.416600,9.867000,0.012300,0.012100,9.806500,0.0037000,0.0480000,-0.0474000,-12.500,-28.560,29.750,359.980,-84.960,-158.220,1,57.845,-0.83000,2.180556,-0.232766
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6300.0,2019-09-08 11:07:25:852,-0.099300,-0.065000,9.750400,0.007400,0.000400,9.806600,0.0003000,-0.0006000,-0.0167000,-12.370,-28.690,30.130,359.440,-84.970,-158.710,1,57.298,-1.91000,-1.519444,-0.530576
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6400.0,2019-09-08 11:07:25:945,-0.353600,0.088100,9.938400,0.002800,0.011400,9.806600,-0.0496000,-0.0140000,-0.0049000,-11.940,-29.440,30.310,357.920,-84.960,-160.110,1,57.877,8.04000,1.608333,2.255989
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6500.0,2019-09-08 11:07:26:046,0.023800,-0.313400,9.892000,0.005800,0.029400,9.806500,0.0212000,-0.0197000,-0.0392000,-11.620,-29.000,30.130,355.650,-85.120,-162.200,1,57.874,-9.58000,-0.008333,-2.687967
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6600.0,2019-09-08 11:07:26:146,-0.061100,0.106800,10.288300,0.012500,-0.022900,9.806500,0.0628000,-0.0305000,-0.0162000,-11.750,-29.120,29.750,353.000,-85.180,-164.650,1,57.766,4.54000,-0.300000,1.271461
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6700.0,2019-09-08 11:07:26:246,-0.216500,0.438700,9.408000,0.019700,-0.032000,9.806500,-0.1046000,0.0821000,-0.1111000,-11.620,-28.620,29.630,350.970,-85.030,-166.500,1,57.110,-3.45000,-1.822222,-0.955226
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6800.0,2019-09-08 11:07:26:345,-0.684800,0.685000,9.725300,-0.006900,0.034900,9.806600,-0.1251000,-0.0246000,0.0129000,-11.560,-28.690,30.880,350.270,-85.100,-167.810,1,56.963,11.68000,-0.408333,3.225600
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,24,6900.0,2019-09-08 11:07:26:445,0.609700,0.586400,8.902900,-0.005500,0.033200,9.806500,0.0342000,-0.0179000,0.0390000,-11.560,-29.060,30.060,348.560,-85.120,-168.730,1,57.049,1.68000,0.238889,0.464657
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7000.0,2019-09-08 11:07:26:546,-0.134700,0.731800,9.644200,-0.014500,0.000200,9.806600,0.0407000,-0.0051000,0.0520000,-11.440,-28.560,29.750,351.420,-85.200,-167.770,1,56.959,-14.07000,-0.250000,-3.885360
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7100.0,2019-09-08 11:07:26:645,0.499300,-0.355100,10.801400,-0.009200,0.006900,9.806600,0.0013000,0.0124000,0.0273000,-11.810,-29.060,30.000,352.110,-85.230,-165.470,1,57.013,3.06000,0.150000,0.845805
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7200.0,2019-09-08 11:07:26:746,-0.418300,-0.790000,11.132500,0.009500,-0.047200,9.806500,0.0773000,0.0384000,-0.0184000,-11.560,-28.500,30.310,352.900,-84.900,-164.720,1,57.121,5.38000,0.300000,1.489886
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7300.0,2019-09-08 11:07:26:846,0.455600,-0.767400,10.436100,0.022200,-0.072400,9.806300,-0.0016000,-0.0386000,0.0542000,-12.190,-28.750,30.130,352.210,-84.630,-165.300,1,58.385,-5.24000,3.511111,-1.483226
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7400.0,2019-09-08 11:07:26:946,-0.105300,-0.064200,9.493800,-0.014200,0.038000,9.806500,-0.0250000,0.0258000,-0.0234000,-12.370,-29.370,30.630,353.160,-84.600,-165.090,1,58.334,5.77000,-0.141667,1.631821
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7500.0,2019-09-08 11:07:27:046,0.060300,0.069200,9.579500,-0.016100,0.056800,9.806400,0.0254000,-0.0452000,0.0171000,-11.690,-28.940,30.060,353.560,-85.070,-164.120,1,57.370,-9.14000,-2.677778,-2.542178
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7600.0,2019-09-08 11:07:27:146,-0.163100,0.525400,9.541500,0.003800,0.013000,9.806600,-0.0903000,-0.0480000,0.0320000,-11.690,-28.870,29.940,354.070,-85.260,-163.670,1,57.121,0.34000,-0.691667,0.094156
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7700.0,2019-09-08 11:07:27:246,-0.018200,-0.176800,9.982600,0.002700,0.011400,9.806600,0.0466000,-0.0354000,0.0305000,-11.560,-29.000,30.560,352.920,-85.420,-165.400,1,57.272,0.73000,0.419444,0.202694
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7800.0,2019-09-08 11:07:27:345,0.031000,0.274100,10.099000,0.002200,0.002800,9.806600,0.0178000,0.0315000,-0.0064000,-12.060,-28.940,30.060,351.580,-85.290,-165.970,1,56.711,-3.08000,-1.558333,-0.846823
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,7900.0,2019-09-08 11:07:27:445,-0.462100,-0.427300,10.188300,-0.005600,-0.002700,9.806600,-0.0634000,-0.0289000,0.0090000,-12.000,-28.690,30.000,351.210,-85.150,-166.300,1,57.056,3.68000,0.958333,1.017944
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,8000.0,2019-09-08 11:07:27:546,0.614300,0.296900,9.849500,-0.014400,-0.003200,9.806600,-0.0316000,0.0378000,0.0055000,-11.940,-28.310,30.190,349.980,-85.080,-167.440,1,56.873,-4.37000,-0.508333,-1.204932
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,8100.0,2019-09-08 11:07:27:645,-0.001400,0.279900,9.773900,-0.004000,0.020800,9.806500,0.0495000,0.0064000,-0.0164000,-12.500,-28.810,29.940,351.750,-85.050,-165.780,1,56.700,4.56000,-0.480556,1.253495
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,8200.0,2019-09-08 11:07:27:745,0.782000,-1.841900,10.121000,-0.008600,0.004100,9.806600,-0.1347000,-0.0942000,0.0657000,-12.190,-28.870,30.060,353.230,-85.120,-164.430,1,56.952,-0.63000,0.700000,-0.173950
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,8300.0,2019-09-08 11:07:27:846,-0.035900,1.015100,10.519300,-0.018400,0.005800,9.806600,0.1638000,0.0655000,-0.0149000,-12.370,-28.560,30.630,355.140,-85.210,-163.320,1,56.963,-4.17000,0.030556,-1.151606
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,8400.0,2019-09-08 11:07:27:946,1.863300,-1.091700,9.575300,0.015800,-0.045800,9.806400,0.1252000,0.0581000,0.0156000,-12.250,-28.440,30.810,355.060,-85.190,-163.410,1,56.686,-1.10000,-0.769444,-0.302304
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,8500.0,2019-09-08 11:07:28:046,-0.029600,-0.603600,10.014000,0.009400,-0.011000,9.806600,0.0708000,-0.0222000,0.0234000,-12.250,-28.500,30.690,355.990,-84.960,-162.540,1,56.686,-0.54000,0.000000,-0.148404
52.40820000,-1.59686000,182.220,15.9300,2.00,175.440,27,8600.0,2019-09-08 11:07:28:146,-0.172300,-0.321000,9.817000,-0.009100,0.004700,9.806600,-0.0303000,0.0087000,-0.0286000,-12.060,-28.810,30.750,355.840,-85.090,-162.670,1,56.837,3.54000,0.419444,0.975460
